Compound,LogKp,Thiol,Carboxylic acid,Ester,Ether,Amide,Amine,Ketone,Hydroxyl
p-Phenylenediamine,-7.176,0,0,0,0,0,2,0,0
Prazosin hydrochloride,-5.711,0,0,0,3,1,4,0,0
Prednisolone,-7.906,0,0,0,0,0,0,2,3
Pregnenolone,-6.38,0,0,0,0,0,0,1,1
Progesterone,-6.38,0,0,0,0,0,0,2,0
Propoxur,-6.324,0,0,0,1,1,0,0,0
Propranolol,-6.306,0,0,0,1,0,1,0,0
Propranolol-HCl,-7.879,0,0,0,1,0,1,0,1
Propylparaben,-5.41,0,0,1,0,0,0,0,1
Pyrogallol,-6.366,0,0,0,0,0,0,0,3
Raffinose,-8.208,0,0,0,5,0,0,0,11
Ranitidine,-7.608,1,0,0,1,0,3,0,0
Resorcinol,-7.176,0,0,0,0,0,0,0,2
Salicylic acid,-7.556,0,1,0,0,0,0,0,1
Sucrose,-8.84,0,0,0,3,0,0,0,8
Sufentanil,-6.894,1,0,0,1,1,1,0,0
Testosterone,-7.903,0,0,0,0,0,0,1,1
Theophylline,-7.125,0,0,0,0,2,2,0,0
Thymol,-4.86,0,0,0,0,0,0,0,1
Triamcinolone,-8.956,0,0,0,0,0,0,2,4
Triamcinolone acetonide,-8.251,0,0,0,2,0,0,2,2
Trichloroacetic acid,-6.278,0,1,0,0,0,0,0,0
Trichloroacetonitrile,-4.604,0,0,0,0,0,0,0,0
Triclosan,-7.269,0,0,0,1,0,0,0,1
Triglycol nicotinate,-8.561,0,0,1,2,0,1,0,1
Trimethylamine,-7.284,0,0,0,0,0,1,0,0
Urea,-7.386,0,0,0,0,1,0,0,0
Water,-7.079,0,0,0,0,0,0,0,1
