Compound,LogKp,TPSA,MV
Flufenamic acid,-6.111,49.33,226.15
Fluocinonide,-6.326,99.13,431.71
Flurbiprofen,-5.331,"	37.3",220.77
Glyphosate,-6.894,106.86,130.02
Haloperidol,-7.03,40.54,336.98
Histidine,-7.812,92,136.79
Hydrocortisone,-9.195,94.83,343.06
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,121.13,455.04
Hydrocortisone 21-Hexanoate,-5.301,100.9,446.78
Hydrocortisone 21-methylsuccinate,-7.234,141.03,437.46
Hydrocortisone 21-octanoate,-4.764,100.9,480.38
Hydrocortisone 21-propionate,-6.038,100.9,396.38
Hydrocortisone 21-succinamate,-8.141,147.81,424.19
Hydromorphone,-8.38,49.77,257
Hydroquinone,-8.586,"	40.46",100.08
Hydroxypregnenolone,-6.778,57.53,332.62
Ibuprofen,-4.996,37.3,211.19
Indomethacin,-6.997,68.53,303.24
Isonicotinic acid,-8.173,"	50.19",106.89
Isoquinoline,-5.332,12.89,123.88
Ketoprofen,-6.768,54.37,234.83
Ketorolac,-5.799,59.3,226.39
L-alanyl-L-tryptophan,-8.38,108.21,249.72
Levosimendan,-7.954,113.43,247.42
Lidocaine,-7.021,32.34,244.86
Lindane,-8.784,0,183.97
Linolenic acid,-5.988,37.3,306.47
Lysine,-7.328,89.34,146.25
m-Cresol,-5.373,"	20.23",108.62
m-Nitrophenol,-5.805,63.37,115.39
Malathion,-4.249,71.06,275.37
Mannitol,-7.923,"	121.38",161.66
Meperidine,-5.988,29.54,247.59
Methanol,-5.539,"	20.23",37.21
Methotrexate,-7.503,210.54,387.36
Methyl 4-hydroxybenzoate,-5.632,46.53,136.59
Methyl 4-hydroxyphenylacetate,-5.255,46.53,153.39
Methyl nicotinate,-5.966,39.19,124.42
Methyl p-aminobenzoate,-5.195,52.32,139.86
Methyl salicylate,-5,46.53,136.59
Metoprolol,-6.637,50.72,272.98
Morphine,-9.352,52.93,256.68
"N,N-Diethyl-m-toluamide",-8.352,20.31,199.1
n-Hexyl nicotinate,-5.303,"	39.19",208.43
n-Nitrosodiethanolamine,-5.944,73.13,123.49
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,131.69,238.49
Naphthol,-5.141,20.23,136.05
Naproxen,-6.096,46.53,213.97
Nicorandil,-7.131,"	94.36",177.19
Nicotine,-5.546,16.13,165.62
Nimesulide,-6.551,98.54,248.17
Nitroglycerin,-5.556,157.11,160.02
Nizatidine,-7.981,83.33,293.96
o-Chlorophenol,-5.037,20.23,105.6
o-Cresol,-5.36,20.23,108.62
o-Cresol glycidyl ether,-7.588,"	21.76",158.16
o-Phenylenediamine,-6.903,52.04,106.62
o-t-Butylphenol,-4.685,20.23,158.25
Octylparaben,-5.588,46.53,254.2
Oleic acid,-6.442,37.3,318.84
Ouabain,-9.653,206.6,520.54
Oxprenolol,-6.369,50.72,267.35
p-Bromophenol,-4.999,20.23,109.95
p-Chlorophenol,-4.996,20.23,105.6
p-Cresol,-5.313,20.23,108.62
p-Ethylphenol,-5.014,20.23,125.42
p-n-Butylphenol,-4.671,20.23,159.03
p-Nitrophenol,-5.81,"	63.37",115.39
p-Phenylenediamine,-7.176,52.04,106.62
Parathion,-7.28,70.83,238.28
Phenobarbital,-6.9,75.27,204.82
Phenol,-5.586,20.23,92.06
Phloroglucinol,-6.066,"	60.69",108.1
Prednisolone,-7.906,"	94.83",336.88
Pregnenolone,-6.38,"	37.3",324.93
Progesterone,-5.255,"	34.14",319.07
Propoxur,-6.324,"	47.56",199.91
Propanolol,-6.306,41.49,257.82
Propanolol-HCl,-7.879,41.49,257.82
Propylparaben,-5.41,"	46.53",170.19
Pyrogallol,-6.366,"	60.69",108.1
Raffinose,-8.208,268.68,415.7
Ranitidine,-7.608,83.58,288.97
Resorcinol,-6.626,"	40.46",100.08
Salicylic acid,-5.76,57.53,119.06
Scopolamine,-9.128,62.3,277.2
Sucrose,-8.583,189.53,283.58
Sufentanil,-6.894,32.78,372.9
Terbinafine,-9.556,3.24,306.73
Testosterone,-5.856,37.3,291.54
Theophylline,-7.125,69.3,150.69
Thymol,-4.77,20.23,158.57
Toluene,-3.637,0,100.6
Triamcinolone,-8.956,115.06,349.53
Triamcinolone acetonide,-8.251,93.06,390.25
Trichloroacetic acid,-6.278,37.3,96.75
Trichloroacetonitrile,-4.604,"	23.79",86.61
Triclosan,-7.269,29.46,213.06
Trimethylamine,-7.284,3.24,75.1
Urea,-7.317,69.11,54.2
Water,-6.751,25.3,19.33
