Compound,LogKp,MW,LogP,HBD,HBA,LogS
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
Amobarbital,-6.201,226.276,1.893,2,3,-3.091
Barbital,-7.509,184.195,0.717,2,3,-1.596
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Atenolol,-7.857,266.341,0.425,3,4,-1.572
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028
Water,-6.751,18.015,-0.652,1,1,0.531
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141
Catechol,-6.066,110.112,1.366,2,2,-0.52
Phenol,-5.586,94.113,1.67,1,1,-0.895
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141
Resorcinol,-6.626,110.112,1.366,2,2,-0.52
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
Codeine,-7.866,299.37,1.343,1,4,-1.828
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632
Meperidine,-5.988,247.338,2.456,0,2,-1.314
Corticosterone,-8.206,346.467,2.023,2,4,-3.681
Prednisolone,-7.906,360.45,1.273,3,5,-3.46
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Levosimendan,-7.954,280.291,2.162,2,6,-2.783
Lindane,-8.784,290.81,4.346,0,0,-4.211
Mannitol,-7.923,182.172,-3.73,6,6,1.16
Morphine,-9.352,285.343,0.895,2,4,-1.415
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Triclosan,-7.269,289.54,4.982,1,1,-5.275
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394
Benzene,-4.511,78.114,1.973,0,0,-1.266
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
Etorphine,-6,411.542,2.472,2,5,-2.923
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
Haloperidol,-7.03,375.87,3.661,1,3,-4.396
