Compound,LogKp,Thiol,Amine,Hydroxyl
Ethyl 3-ethoxypropionate,-6.669,0,0,0
Ethyl nicotinate,-5.755,0,1,0
Ethyl p-aminobenzoate,-5.255,0,1,0
Ethylene glycol mono isopropyl ether,-6.913,0,0,1
Ethylene glycol mono methyl ether acetate,-6.299,0,0,0
Etodolac,-5.683,0,1,0
Etorphine,-6,0,1,2
Famotidine,-8.345,2,7,0
Fentanyl,-5.013,0,1,0
Flufenamic acid,-6.094,0,1,0
Fluocinonide,-6.326,0,0,1
Flurbiprofen,-5.331,0,0,0
Flurbiprofen glucoside,-6.477,0,0,4
Flurbiprofen mannoside,-6.935,0,0,4
Glyphosate,-6.894,0,0,2
Haloperidol,-7.03,0,1,1
Histidine,-7.812,0,3,0
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,0,0,3
"Hydrocortisone 21-(N,N-dimethylsuccinamate)",-7.73,0,0,2
Hydrocortisone 21-Hemipimelate,-6.301,0,0,2
Hydrocortisone 21-Hemisuccinate,-6.757,0,0,2
Hydrocortisone 21-methylsuccinate,-7.234,0,0,2
Hydrocortisone 21-pimelamate,-6.607,0,0,2
Hydrocortisone 21-propionate,-6.025,0,0,2
Hydrocortisone 21-succinamate,-8.141,0,0,2
Hydroquinone,-6.506,0,0,2
Hydroxypregnenolone,-6.778,0,0,2
Ibuprofen,-4.996,0,0,0
Ibuprofen glucoside,-6.945,0,0,4
Ibuprofen mannoside,-6.548,0,0,4
Indomethacin,-6.997,0,0,0
Isoquinoline,-5.332,0,1,0
Ketoprofen,-6.151,0,0,0
Ketoprofen glucoside,-7.731,0,0,4
Ketoprofen mannoside,-7.594,0,0,4
Ketorolac,-5.799,0,1,0
L-alanyl-L-tryptophan,-8.38,0,1,0
Lidocaine,-5.53,0,0,0
Linolenic acid,-5.988,0,0,0
Lysine,-6.86,0,2,0
Mannitol,-7.771,0,0,6
m-Cresol,-5.373,0,0,1
Meperidine,-5.988,0,1,0
Methanol,-3.857,0,0,1
Methotrexate,-6.503,0,7,0
Methyl 4-hydroxybenzoate,-5.23,0,0,1
Methyl 4-hydroxyphenylacetate,-5.255,0,0,1
Methyl nicotinate,-5.966,0,1,0
Methyl p-aminobenzoate,-5.012,0,1,0
Methyl salicylate,-5,0,0,1
Methyltriglycol nicotinate,-7.308,0,1,0
Metoprolol,-6.637,0,1,1
m-Nitrophenol,-5.805,0,0,1
"N4-acetyl-4-amino-1-[(2R,3S,4R,5R)-3,4-dihydroxy-5 (hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,0,1,3
Naphthol,-5.141,0,0,1
Naproxen,-6.096,0,0,0
Naproxen glucoside,-7.886,0,0,4
Naproxen mannoside,-7.7,0,0,4
n-Hexyl nicotinate,-5.303,0,1,0
Nicorandil,-7.131,0,1,0
Nicotine,-5.27,0,2,0
Nimesulide,-6.551,0,1,0
Nitroglycerin,-5.556,0,0,0
Nizatidine,-7.981,2,4,0
n-Nitrosodiethanolamine,-5.944,0,1,2
Nortriptyline hydrocloride,-6.444,0,1,0
o-Chlorophenol,-5.037,0,0,1
o-Cresol,-5.36,0,0,1
o-Cresyl glycidyl ether,-7.588,0,0,0
Octylparaben,-5.588,0,0,1
Oleic acid,-6.442,0,0,0
o-Phenylenediamine,-6.903,0,2,0
o-t-Butylphenol,-4.685,0,0,1
Ouabain,-4.83,0,0,8
Oxprenolol,-6.369,0,1,1
Paraquat,-8.617,0,2,0
Parathion,-7.28,0,0,0
p-Bromophenol,-4.999,0,0,1
p-Chlorophenol,-4.996,0,0,1
p-Cresol,-4.477,0,0,1
p-Ethylphenol,-5.014,0,0,1
Phenobarbital,-6.9,0,0,0
Phenol,-5.586,0,0,1
Phloroglucinol,-6.066,0,0,3
p-n-Butylphenol,-4.671,0,0,1
p-Nitrophenol,-5.81,0,0,1
p-Phenylenediamine,-7.176,0,2,0
Prazosin hydrochloride,-5.711,0,4,0
Prednisolone,-7.906,0,0,3
Pregnenolone,-6.38,0,0,1
Progesterone,-5.079,0,0,0
Propoxur,-5.797,0,0,0
Propranolol,-6.306,0,1,0
Propranolol-HCl,-4.705,0,1,1
Propylparaben,-5.41,0,0,1
Pyrogallol,-6.366,0,0,3
Raffinose,-8.208,0,0,11
Ranitidine,-7.608,1,3,0
Resorcinol,-6.626,0,0,2
Salicylic acid,-5.136,0,0,1
Sucrose,-8.075,0,0,8
Sufentanil,-5.018,1,1,0
Testosterone,-4.945,0,0,1
Theophylline,-7.125,0,2,0
Thymol,-4.77,0,0,1
Triamcinolone,-8.956,0,0,4
Triamcinolone acetonide,-8.251,0,0,2
Trichloroacetic acid,-6.278,0,0,0
Trichloroacetonitrile,-4.604,0,0,0
Triclosan,-7.269,0,0,1
Triglycol nicotinate,-8.561,0,1,1
Trimethylamine,-7.284,0,1,0
Urea,-7.317,0,0,0
Water,-5.24,0,0,1
