Compound,LogKp,MW,LogP,HBD,HBA,LogS
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Histidine,-7.812,155.157,-3.616,3,4,-0.444
Lysine,-7.328,146.19,-3.215,3,4,0.116
Atenolol,-7.857,266.341,0.425,3,4,-1.572
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Glyphosate,-6.894,169.073,-3.099,4,6,2.058
Malathion,-4.249,330.35,1.857,0,2,-2.657
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141
Catechol,-6.066,110.112,1.366,2,2,-0.52
Phenol,-5.586,94.113,1.67,1,1,-0.895
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141
Resorcinol,-6.626,110.112,1.366,2,2,-0.52
Codeine,-7.866,299.37,1.343,1,4,-1.828
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632
Meperidine,-5.988,247.338,2.456,0,2,-1.314
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Ketorolac,-5.799,255.273,2.283,1,3,-2.735
Levosimendan,-7.954,280.291,2.162,2,6,-2.783
Morphine,-9.352,285.343,0.895,2,4,-1.415
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Naphthol,-5.141,144.173,2.659,1,1,-2.857
Progesterone,-5.255,314.469,4.149,0,2,-5.627
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Raffinose,-8.208,504.438,-6.3,11,16,0.692
Urea,-7.317,60.056,-1.364,2,1,0.552
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Triclosan,-7.269,289.54,4.982,1,1,-5.275
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394
Amphetamine,-8.409,135.21,1.804,1,1,-1.4
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
Etorphine,-6,411.542,2.472,2,5,-2.923
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
Indomethacin,-6.997,357.79,3.53,1,4,-4.252
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244
