Compound,LogKp,MW,LogP,HBD,HBA,LogS
Parathion,-7.28,291.26,3.315,0,2,-4.513
Boric acid,-7.199,61.83,-0.509,3,3,1.829
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52
Atropine,-8.635,289.375,1.571,1,3,-1.614
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351
Digitoxin,-8.442,764.95,3.597,5,12,-3.788
Ephedrine,-6.326,165.236,1.318,2,2,-1.172
Estradiol,-5.829,272.388,3.746,2,2,-3.986
Fentanyl,-5.556,336.479,3.815,0,2,-4.077
Ouabain,-9.653,584.659,-2.782,8,11,-0.807
Scopolamine,-9.128,303.358,0.895,1,4,-2.079
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
Ketorolac,-5.799,255.273,2.283,1,3,-2.735
Lidocaine,-7.021,234.343,2.843,1,2,-2.636
Lindane,-8.784,290.81,4.346,0,0,-4.211
Mannitol,-7.923,182.172,-3.73,6,6,1.16
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Triclosan,-7.269,289.54,4.982,1,1,-5.275
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394
Amphetamine,-8.409,135.21,1.804,1,1,-1.4
Benzene,-4.511,78.114,1.973,0,0,-1.266
Dimethylethylamine,-6.079,73.139,0.547,0,1,0.527
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
