Compound,LogKp,MW,LogP,HBD,HBA,LogS
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Levosimendan,-7.954,280.291,2.162,2,6,-2.783
Morphine,-9.352,285.343,0.895,2,4,-1.415
Naphthol,-5.141,144.173,2.659,1,1,-2.857
Progesterone,-5.255,314.469,4.149,0,2,-5.627
Raffinose,-8.208,504.438,-6.3,11,16,0.692
Urea,-7.317,60.056,-1.364,2,1,0.552
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
Haloperidol,-7.03,375.87,3.661,1,3,-4.396
Indomethacin,-6.997,357.79,3.53,1,4,-4.252
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244
