Compound,LogKp,MW,LogP,HBD,HBA,LogS
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051
Thymol,-4.77,150.221,3.428,1,1,-2.756
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097
4-Hydroxybenzyl alcohol,-6.255,124.139,0.902,2,2,-0.482
4-Hydroxyphenylacetamide,-6.903,151.165,0.5,2,2,-0.742
4-Hydroxyphenylacetic acid,-6.158,152.149,1.307,2,3,-0.645
Methyl 4-hydroxyphenylacetate,-5.255,166.176,1.453,1,2,-0.859
Toluene,-3.637,92.141,2.487,0,0,-1.813
Fluocinonide,-6.326,494.532,2.046,1,6,-4.745
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,476.61,2.314,3,6,-3.268
Hydrocortisone 21-Hexanoate,-5.301,460.611,3.751,2,5,-5.014
Hydrocortisone 21-methylsuccinate,-7.234,475.559,2.084,2,7,-3.228
Hydrocortisone 21-octanoate,-4.764,488.665,4.64,2,5,-5.937
Hydrocortisone 21-propionate,-6.038,418.53,2.417,2,5,-3.607
Hydrocortisone 21-succinamate,-8.141,460.548,-0.813,3,7,-3.058
Sucrose,-8.583,342.297,-4.529,8,11,0.402
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555
L-alanyl-L-tryptophan,-8.38,275.308,-1.625,4,4,-2.892
Acetic acid,-6.079,60.052,-0.223,1,2,0.633
Diazinon,-5.617,304.34,4.192,0,2,-3.889
Ethacrynic acid,-7.38,303.14,3.656,1,4,-4.743
Linolenic acid,-5.988,278.436,6.06,1,2,-7.167
Octylparaben,-5.588,250.338,4.775,1,2,-4.638
Oleic acid,-6.442,282.468,6.784,1,2,-7.416
Propylparaben,-5.41,180.203,2.552,1,2,-2.046
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453
Diclofenac,-6.556,296.15,4.259,2,3,-4.298
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504
Naproxen,-6.096,230.263,2.986,1,3,-3.447
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
17-Hydroxyprogesterone,-6.778,330.468,3.401,1,3,-4.674
Aldosterone,-9.079,360.45,1.056,2,5,-2.621
Cortexolone,-7.681,346.467,2.584,2,4,-4.481
Cortexone,-6.903,330.468,3.331,1,3,-5.438
Cortisone,-8.556,360.45,1.661,2,5,-2.869
Estriol,-7.954,288.387,2.671,3,3,-3.63
Estrone,-6,270.372,4.309,1,2,-4.176
Hydroxypregnenolone,-6.778,332.484,2.834,2,3,-3.866
Pregnenolone,-6.38,316.485,3.581,1,2,-4.819
Amobarbital,-6.201,226.276,1.893,2,3,-3.091
Barbital,-7.509,184.195,0.717,2,3,-1.596
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364
Histidine,-7.812,155.157,-3.616,3,4,-0.444
Lysine,-7.328,146.19,-3.215,3,4,0.116
Atenolol,-7.857,266.341,0.425,3,4,-1.572
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Water,-6.751,18.015,-0.652,1,1,0.531
Glyphosate,-6.894,169.073,-3.099,4,6,2.058
Malathion,-4.249,330.35,1.857,0,2,-2.657
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363
Butan-2-one,-5.903,72.107,0.807,0,1,-0.028
Diethyl ether,-5.352,74.123,0.838,0,1,0.054
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141
Catechol,-6.066,110.112,1.366,2,2,-0.52
Phenol,-5.586,94.113,1.67,1,1,-0.895
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141
Resorcinol,-6.626,110.112,1.366,2,2,-0.52
Atropine,-8.635,289.375,1.571,1,3,-1.614
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351
Digitoxin,-8.442,764.95,3.597,5,12,-3.788
Ephedrine,-6.326,165.236,1.318,2,2,-1.172
Estradiol,-5.829,272.388,3.746,2,2,-3.986
Fentanyl,-5.556,336.479,3.815,0,2,-4.077
Ouabain,-9.653,584.659,-2.782,8,11,-0.807
Scopolamine,-9.128,303.358,0.895,1,4,-2.079
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
Codeine,-7.866,299.37,1.343,1,4,-1.828
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632
Meperidine,-5.988,247.338,2.456,0,2,-1.314
Corticosterone,-8.206,346.467,2.023,2,4,-3.681
Prednisolone,-7.906,360.45,1.273,3,5,-3.46
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Ketorolac,-5.799,255.273,2.283,1,3,-2.735
Levosimendan,-7.954,280.291,2.162,2,6,-2.783
Lidocaine,-7.021,234.343,2.843,1,2,-2.636
Lindane,-8.784,290.81,4.346,0,0,-4.211
Mannitol,-7.923,182.172,-3.73,6,6,1.16
Morphine,-9.352,285.343,0.895,2,4,-1.415
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
Naphthol,-5.141,144.173,2.659,1,1,-2.857
Progesterone,-5.255,314.469,4.149,0,2,-5.627
Nicorandil,-7.131,211.177,-0.162,1,5,-1.582
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Raffinose,-8.208,504.438,-6.3,11,16,0.692
Urea,-7.317,60.056,-1.364,2,1,0.552
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Triclosan,-7.269,289.54,4.982,1,1,-5.275
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394
Amphetamine,-8.409,135.21,1.804,1,1,-1.4
Benzene,-4.511,78.114,1.973,0,0,-1.266
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Chlorpyrifos,-7.158,350.57,4.784,0,1,-6.057
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
Dimethylethylamine,-6.079,73.139,0.547,0,1,0.527
Etorphine,-6,411.542,2.472,2,5,-2.923
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
Haloperidol,-7.03,375.87,3.661,1,3,-4.396
Indomethacin,-6.997,357.79,3.53,1,4,-4.252
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244
