Compound,LogKp,MW,LogP,HBD,HBA,LogS
Atropine,-8.635,289.375,1.571,1,3,-1.614
Barbital,-7.509,184.195,0.717,2,3,-1.596
Benzene,-4.511,78.114,1.973,0,0,-1.266
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453
Benzyl nicotinate,5.348,213.236,2.484,0,2,-2.391
Betamethasone,-7.153,392.467,1.682,3,5,-3.947
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036
Boric acid,-7.199,61.83,-0.509,3,3,1.829
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866
Bromoform,-4.234,252.731,2.276,0,0,-2.172
Butan-2-one,-5.903,72.107,0.807,0,1,-0.028
Butobarbital,-7.268,212.249,1.606,2,3,-2.64
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803
Caffeine,-6.828,194.194,-0.546,0,3,-0.437
Carvacrol,-4.81,150.221,3.428,1,1,-2.756
Catechol,-6.066,110.112,1.366,2,2,-0.52
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386
Chlorocresol,-5,142.58,2.787,1,1,-2.021
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034
Chloroform ,-4.352,119.37,1.825,0,0,-1.666
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628
Chlorpyrifos,-7.158,350.57,4.784,0,1,-6.057
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691
Codeine,-7.866,299.37,1.343,1,4,-1.828
Cortexolone,-7.681,346.467,2.584,2,4,-4.481
Cortexone,-6.903,330.468,3.331,1,3,-5.438
Corticosterone,-8.206,346.467,2.023,2,4,-3.681
Cortisone,-8.556,360.45,1.661,2,5,-2.869
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947
Diazinon,-5.617,304.34,4.192,0,2,-3.889
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856
Diclofenac,-6.556,296.15,4.259,2,3,-4.298
Diethyl ether,-5.325,74.123,0.838,0,1,0.054
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351
Digitoxin,-8.442,764.95,3.597,5,12,-3.788
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028
Dimethylethylamine,-6.079,73.139,0.547,0,1,0.527
Ephedrine,-6.326,165.236,1.318,2,2,-1.172
Estradiol,-5.829,272.388,3.746,2,2,-3.986
Estriol,-7.954,288.387,2.671,3,3,-3.63
Estrone,-6,270.372,4.309,1,2,-4.176
Ethacrynic acid,-7.38,303.14,3.656,1,4,-4.743
Ethanol,-6.699,46.069,-0.162,1,1,0.77
Ethyl 3-ethoxypropionate,-3.113,146.186,0.699,0,2,-0.451
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875
Etodolac,-5.683,287.359,3.444,2,3,-4.113
Etorphine,-6,411.542,2.472,2,5,-2.923
Famotidine,-8.345,337.44,-1.95,4,8,-1.806
Fentanyl,-5.556,336.479,3.815,0,2,-4.077
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34
Fluocinonide,-6.326,494.532,2.046,1,6,-4.745
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236
Glyphosate,-6.894,169.073,-3.099,4,6,2.058
Haloperidol,-7.03,375.87,3.661,1,3,-4.396
Histidine,-7.907,155.157,-3.616,3,4,-0.444
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,476.61,2.314,3,6,-3.268
Hydrocortisone 21-Hexanoate,-5.301,460.611,3.751,2,5,-5.014
Hydrocortisone 21-methylsuccinate,-7.234,475.559,2.084,2,7,-3.228
Hydrocortisone 21-octanoate,-4.764,488.665,4.64,2,5,-5.937
Hydrocortisone 21-propionate,-6.038,418.53,2.417,2,5,-3.607
Hydrocortisone 21-succinamate,-8.141,460.548,-0.813,3,7,-3.058
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632
Hydroquinone,-8.586,110.112,1.366,2,2,-0.52
Hydroxypregnenolone,-6.778,332.484,2.834,2,3,-3.866
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543
Indomethacin,-10.554,357.79,3.53,1,4,-4.252
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854
Ketorolac,-5.799,255.273,2.283,1,3,-2.735
L-alanyl-L-tryptophan,-8.637,275.308,-1.625,4,4,-2.892
Levosimendan,-7.954,280.291,2.162,2,6,-2.783
Lidocaine,-7.021,234.343,2.843,1,2,-2.636
Lindane,-8.784,290.81,4.346,0,0,-4.211
Linolenic acid,-5.988,278.436,6.06,1,2,-7.167
Lysine,-7.328,146.19,-3.215,3,4,0.116
m-Cresol,-5.373,108.14,2.183,1,1,-1.439
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694
Malathion,-4.249,330.35,1.857,0,2,-2.657
Mannitol,-7.923,182.172,-3.73,6,6,1.16
Meperidine,-5.988,247.338,2.456,0,2,-1.314
Methanol,-5.539,32.042,-0.519,1,1,1.111
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288
Methyl 4-hydroxyphenylacetate,-5.255,166.176,1.453,1,2,-0.859
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52
Methyl salicylate,-5,152.149,2.323,1,2,-1.288
Metoprolol,-6.637,267.369,1.759,2,4,-1.696
Morphine,-9.352,285.343,0.895,2,4,-1.415
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828
Naphthol,-5.141,144.173,2.659,1,1,-2.857
Naproxen,-6.096,230.263,2.986,1,3,-3.447
Nicorandil,-7.131,211.177,-0.162,1,5,-1.582
Nicotine,-5.546,162.236,1.163,0,2,-0.067
Nimesulide,-6.551,308.31,1.787,1,4,-3.958
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611
Nizatidine,-7.981,331.45,0.772,2,6,-1.675
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714
o-Cresol,-5.36,108.14,2.183,1,1,-1.21
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405
Octylparaben,-5.588,250.338,4.775,1,2,-4.638
Oleic acid,-6.442,282.468,6.784,1,2,-7.416
Ouabain,-9.653,584.659,-2.782,8,11,-0.807
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714
p-Cresol,-5.313,108.14,2.183,1,1,-1.439
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983
Parathion,-7.28,291.26,3.315,0,2,-4.513
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232
Phenol,-5.586,94.113,1.67,1,1,-0.895
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141
Prednisolone,-7.906,360.45,1.273,3,5,-3.46
Pregnenolone,-6.38,316.485,3.581,1,2,-4.819
Progesterone,-5.255,314.469,4.149,0,2,-5.627
Propoxur,-6.324,209.245,2.086,1,2,-2.289
Propanolol,-6.306,259.349,2.584,2,3,-3.7
Propanolol-HCl,-11.436,295.81,2.584,2,3,-4.244
Propylparaben,-5.41,180.203,2.552,1,2,-2.046
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141
Raffinose,-8.208,504.438,-6.3,11,16,0.692
Ranitidine,-7.608,314.4,0.991,2,5,-2.359
Resorcinol,-6.626,110.112,1.366,2,2,-0.52
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071
Scopolamine,-9.128,303.358,0.895,1,4,-2.079
Sucrose,-8.84,342.297,-4.529,8,11,0.402
Sufentanil,-6.894,386.55,3.605,0,3,-4.087
Terbinafine,-9.556,291.438,5.527,0,1,-6.313
Testosterone,-5.856,288.431,3.365,1,2,-4.364
Theophylline,-7.125,180.167,-0.769,1,3,-0.961
Thymol,-4.77,150.221,3.428,1,1,-2.756
Toluene,-3.637,92.141,2.487,0,0,-1.813
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09
Triclosan,-4.269,289.54,4.982,1,1,-5.275
Trimethylamine,-7.284,59.112,0.19,0,1,0.902
Urea,-7.317,60.056,-1.364,2,1,0.552
Water,-6.751,18.015,-0.652,1,1,0.531
